,tot_view_before_x,totdat_YJwordview_before_x,tot_view_after_x,totdat_YJwordview_after_x,YJwordview_before_x,YJwordview_after_x,sta_YJview_before_x,sta_YJview_after_x,diff_sta_YJ_view
shorts,11422821267,4.229409355,39822910463,4.044584933,5.615487386,7.448785453,2.999042255,2.935924118,0.063118137
??,1991220637,4.220146235,4703602960,4.037752296,5.579975271,7.341772115,2.765466001,2.600513681,0.16495232
2023,1571151200,4.218570254,607570890,4.0267974,5.574267391,7.207692064,2.727923169,2.180268421,0.547654748
??,1348814720,4.217507827,1765986240,4.033192577,5.570464404,7.281976145,2.702909524,2.413095996,0.289813528
??,997526754,4.21529134,2321136690,4.034577574,5.562639148,7.299424671,2.651439937,2.46778467,0.183655267
éÄ,889042392,4.214403118,21915618,3.99171938,5.559542307,6.899017281,2.631070873,1.212793285,1.418277588
2022,850812794,4.214057635,4000316,3.959031733,5.558343525,6.68206786,2.623186042,0.532811695,2.090374347
x,781047608,4.2133748,359720096,4.022983166,5.555983437,7.167300543,2.607662872,2.05366983,0.553993042
?,746411570,4.213007165,172560778,4.016735744,5.554717791,7.10591679,2.599338253,1.861275576,0.738062677
Shorts,667475004,4.212084293,2930815440,4.035687651,5.551555724,7.313835377,2.578540171,2.512951949,0.065588222
ì˙,550359576,4.210433097,627596080,4.027017574,5.545950185,7.210102854,2.541670482,2.187824527,0.353845956
?,544393530,4.210337557,27210510,3.994979078,5.545627822,6.923376144,2.539550176,1.289140934,1.250409242
åR,465688872,4.208941508,690355688,4.027654596,5.540941224,7.21713067,2.5087247,2.209851712,0.298872988
??,460258694,4.208834561,1112256518,4.030626743,5.540584008,7.251034857,2.506375158,2.31611714,0.190258018
D,455462031,4.208738787,359057530,4.022968861,5.540264323,7.16715362,2.504272472,2.053209332,0.45106314
?,373205785,4.2068722,192014600,4.017716055,5.534073456,7.115206936,2.463552858,1.890393553,0.573159305
20,314230240,4.205188358,364542534,4.023086305,5.528550932,7.168360795,2.427229184,2.056992963,0.370236222
I,303641354,4.204844559,370991619,4.023221605,5.527430344,7.169754202,2.419858663,2.061360301,0.358498362
?,276993115,4.203909505,737978052,4.02809162,5.524394222,7.221998489,2.399888975,2.225108852,0.174780123
?,245682096,4.202657561,741779792,4.028124986,5.520355116,7.222371722,2.373322284,2.226278671,0.147043613
??,229704240,4.201940105,602696081,4.02674243,5.518053448,7.207091613,2.358183365,2.178386435,0.179796929
64,195261902,4.2001593,392092,3.885252474,5.512380103,6.297822018,2.320867685,-0.671524771,2.992392457
?,192037870,4.199972913,121966978,4.013367079,5.511789493,7.074844235,2.316983031,1.763885293,0.553097738
50,190070118,4.199857243,717021096,4.027903764,5.511423267,7.219901337,2.314574223,2.218535777,0.096038446
èó,179539234,4.199212013,133267440,4.014254879,5.509384534,7.082910836,2.301164725,1.78916833,0.511996395
X,172426954,4.198749184,326409650,4.02222023,5.507926429,7.159508859,2.291574234,2.029248463,0.26232577
îö,169341408,4.198540997,32406609,3.997487408,5.50727171,6.942559316,2.287267906,1.349266487,0.938001419
ë_?,169341408,4.198540997,31379804,3.997033357,5.50727171,6.939057251,2.287267906,1.338290014,0.948977892
l,151820677,4.197262736,309905918,4.021805319,5.503267243,7.155308594,2.26092905,2.01608363,0.24484542
C,151820677,4.197262736,538586295,4.025963493,5.503267243,7.198643656,2.26092905,2.151908119,0.109020932
