,tot_view_before_x,totdat_YJwordview_before_x,tot_view_after_x,totdat_YJwordview_after_x,YJwordview_before_x,YJwordview_after_x,sta_YJview_before_x,sta_YJview_after_x,diff_sta_YJ_view
K,151820677,4.197262736,425773680,4.02426414,5.503267243,7.180589525,2.26092905,2.095321305,0.165607745
t,151820677,4.197262736,154952959,4.015721565,5.503267243,7.096426779,2.26092905,1.831531165,0.429397885
ËÌê•,141066541,4.196384193,9103812,3.97654551,5.500530123,6.792876462,2.242926009,0.880117575,1.362808434
êVï∑,133466739,4.195711842,139482927,4.014704106,5.498443538,7.087025092,2.229201769,1.802063585,0.427138184
éq,127006056,4.195101955,257115534,4.02026724,5.496556797,7.139957204,2.216791979,1.967967977,0.248824002
23,125692096,4.194973221,294331040,4.021387679,5.496159267,7.151106482,2.214177275,2.002913007,0.211264268
31,125692096,4.194973221,4091756,3.95956207,5.496159267,6.685272317,2.214177275,0.542855379,1.671321896
??,124736554,4.194878553,181246,3.849785537,5.495867094,6.142623007,2.212255549,-1.157962903,3.370218452
??,123843744,4.194789288,698076,3.907688594,5.495591717,6.404198569,2.210444289,-0.338110209,2.548554499
å„,120115656,4.194407763,242111376,4.01975674,5.494416084,7.134935496,2.202711721,1.952228507,0.250483215
ËA,117114018,4.194089791,75071772,4.008144945,5.493437936,7.028997837,2.196278083,1.620189558,0.576088525
14,112850428,4.193620405,164171750,4.016269481,5.491996725,7.101538807,2.186798705,1.847553724,0.339244981
N,111968038,4.193520521,135481945,4.014417875,5.491690458,7.084401076,2.184784273,1.793839169,0.390945103
??,110230890,4.19332101,317932511,4.022010465,5.491079141,7.157382122,2.18076342,2.022582659,0.158180761
?,109918554,4.193284726,168012775,4.016486566,5.490968027,7.103573922,2.180032582,1.853932356,0.326100226
MV,108849784,4.193159598,265655262,4.020541492,5.490584985,7.14266983,2.177513173,1.976470125,0.201043048
îN,104436948,4.192626405,126134720,4.01370602,5.488955299,7.077913916,2.166794129,1.773506553,0.393287575
ËêåÆ,102593848,4.192395401,13325127,3.983530842,5.488250506,6.840377272,2.162158444,1.028998711,1.133159733
short,97630951,4.191746995,154952959,4.015721565,5.486276246,7.096426779,2.149173007,1.831531165,0.317641842
éûçè,89769617,4.190631798,66633720,4.006763395,5.482894393,7.017289921,2.126929314,1.583493596,0.543435718
éû,89769617,4.190631798,282697845,4.021057333,5.482894393,7.147800685,2.126929314,1.992551692,0.134377622
àÍå¬,85683318,4.190003322,54338025,4.00430354,5.480996027,6.996839518,2.114443066,1.51939618,0.595046886
éË,84670704,4.189841841,251038432,4.020065063,5.480509117,7.137964153,2.111240476,1.961721184,0.149519291
è¨éq,84670704,4.189841841,251038432,4.020065063,5.480509117,7.137964153,2.111240476,1.961721184,0.149519291
ñ≥,80532010,4.189156137,33682090,3.998027063,5.478445415,6.946739097,2.09766675,1.362367118,0.735299632
ëO,78141756,4.188739965,25352558,3.993932844,5.477195934,6.915489676,2.08944845,1.264422488,0.825025962
èóõw,76945386,4.188525712,13074321,3.98319776,5.476553561,6.838062682,2.085223327,1.021744121,1.063479206
funny,76257806,4.188400705,309484892,4.021794376,5.476179041,7.155198162,2.082759975,2.015737503,0.067022472
MC,74720150,4.188116038,5199930,3.965007825,5.475326938,6.718687894,2.077155381,0.647589364,1.429566017
?,74641157,4.188101219,21230830,3.991226399,5.475282609,6.895386708,2.076863808,1.20141403,0.875449778
dee,74368498,4.188049919,47232040,4.00254029,5.475129172,6.9824751,2.075854595,1.474373982,0.601480614
d,74368498,4.188049919,135481945,4.014417875,5.475129172,7.084401076,2.075854595,1.793839169,0.282015426
?,71860355,4.187566841,97787456,4.011066851,5.473685961,7.05432481,2.066362069,1.699571542,0.366790528
?,70818648,4.187360043,172560778,4.016735744,5.473069055,7.10591679,2.062304452,1.861275576,0.201028875
??,68287680,4.186841541,24001825,3.99311029,5.471524684,6.909335103,2.052146552,1.245132293,0.807014259
??,67255437,4.186623211,167730345,4.016470815,5.470875395,7.103426076,2.047875941,1.853468966,0.194406975
22,65447138,4.186230574,8000632,3.974024002,5.469709237,6.776235447,2.040205689,0.827959869,1.21224582
éÂéù,64741961,4.18607381,39171780,4.000089136,5.469244171,6.96288982,2.037146781,1.412988109,0.624158672
500,63356706,4.185759628,123775470,4.013515901,5.468313015,7.076190566,2.031022227,1.76810508,0.262917147
òVîk,61947700,4.18543123,103989609,4.011719676,5.467341026,7.060094248,2.024629095,1.717654611,0.306974484
??,61921872,4.185425125,8925138,3.976163786,5.467322967,6.790340806,2.024510315,0.872170102,1.152340213
?,61594590,4.185347483,64200906,4.006324059,5.467093362,7.01360096,2.023000115,1.571931337,0.451068778
VS,61353205,4.185289891,228486755,4.019257776,5.466923097,7.130061401,2.021880221,1.936951698,0.084928523
??,60731028,4.185140147,158210840,4.015919735,5.466480581,7.098271661,2.018969628,1.837313552,0.181656076
??,60668256,4.185124934,225465688,4.019142101,5.466435639,7.128936174,2.018674032,1.933424916,0.085249116
??,60263300,4.185026322,3652014,3.956863944,5.466144392,6.66905735,2.016758394,0.49203303,1.524725363
äÆ,58606317,4.184614126,80111754,4.008880908,5.464928259,7.035303153,2.008759439,1.639952221,0.368807218
óÖ,56965608,4.18419154,48669725,4.002922669,5.463683594,6.985570061,2.000572819,1.484074477,0.516498342
v,56425214,4.184049052,135481945,4.014417875,5.463264395,7.084401076,1.99781559,1.793839169,0.203976421
??,56313462,4.184019375,9486411,3.977332376,5.463177117,6.798122189,1.997241531,0.896559184,1.100682346
çÅç`,54659064,4.183571336,145316530,4.015103594,5.461860717,7.090702579,1.988583085,1.813589882,0.174993203
Ëê,51296924,4.182606911,2304778,3.945133469,5.459035094,6.600937678,1.969997923,0.278526478,1.691471445
ê¢äE,50320920,4.182312231,224633586,4.0191099,5.458173876,7.128623259,1.964333374,1.932444151,0.031889224
íÜö†,50162605,4.182263766,197518011,4.017971093,5.458032331,7.117643286,1.963402379,1.898029771,0.065372608
?,49844907,4.182165937,116000570,4.012855884,5.457746695,7.070237393,1.961523649,1.749446131,0.212077519
FULL,49418805,4.182033511,17056110,3.987719143,5.45736022,6.869939607,1.958981656,1.12165553,0.837326126
XX,48734212,4.181817768,87547645,4.009867369,5.45673102,7.043831703,1.954843177,1.666683141,0.288160036
high,48566357,4.181764298,78038092,4.008585287,5.45657516,7.032764617,1.953818032,1.631995725,0.321822306
ëz,47471340,4.181409786,91980162,4.010406994,5.455542614,7.048535391,1.947026592,1.681425844,0.265600748
?,44836958,4.180513852,68088,3.793890277,5.452939428,5.92222888,1.929904481,-1.848741188,3.778645669
äÆêÆî≈,44137485,4.180264993,131688324,4.014136574,5.45221794,7.081831007,1.92515899,1.785783838,0.139375151
??,43538218,4.180047878,2758225,3.949869658,5.451589044,6.627997394,1.921022507,0.363339375,1.557683132
?,42777123,4.179766749,39698565,4.000267901,5.450775496,6.964303691,1.915671505,1.417419584,0.498251921
ì™,42335352,4.179600721,8739735,3.975757479,5.450295439,6.78764837,1.912513991,0.863731236,1.048782754
?,42335352,4.179600721,886897,3.916102663,5.450295439,6.446085839,1.912513991,-0.206823516,2.119337506
ê_ëÑ,42335352,4.179600721,31379804,3.997033357,5.450295439,6.939057251,1.912513991,1.338290014,0.574223977
ëÑ,42335352,4.179600721,62759608,4.006053867,5.450295439,7.011340267,1.912513991,1.56484568,0.347668311
óø,42335352,4.179600721,6218482,3.968867594,5.450295439,6.742966236,1.912513991,0.723684639,1.188829351
çÖ,42335352,4.179600721,886897,3.916102663,5.450295439,6.446085839,1.912513991,-0.206823516,2.119337506
îöì™,42335352,4.179600721,449208,3.890832918,5.450295439,6.323614928,1.912513991,-0.59068241,2.503196401
íjêl,41826435,4.179406784,37858722,3.999630188,5.449735067,6.95927014,1.908828216,1.401642994,0.507185222
?,39365768,4.178426128,109652283,4.012274675,5.446907739,7.065032457,1.890231841,1.733132373,0.157099468
åé,39319926,4.178407144,137524750,4.014565315,5.446853111,7.0857516,1.88987253,1.798072096,0.091800434
?,38472693,4.178051303,4110932,3.959671415,5.445829807,6.685934078,1.883141884,0.544929528,1.338212356
ÂU,38472693,4.178051303,35529200,3.998764983,5.445829807,6.952485647,1.883141884,1.380378451,0.502763433
ëÊàÍ,37141220,4.177472055,14173341,3.984601893,5.444166912,6.84785558,1.87220441,1.052437869,0.819766541
‰ù,36702006,4.177275326,78275550,4.008619633,5.44360295,7.033059145,1.868495026,1.632918858,0.235576167
à§,36702006,4.177275326,41672286,4.00091229,5.44360295,6.969418871,1.868495026,1.433452023,0.435043003
òVçÇ,36702006,4.177275326,81406572,4.009060701,5.44360295,7.036850924,1.868495026,1.644803381,0.223691645
?,36639518,4.177247101,100453275,4.0113536,5.44352207,7.056853839,1.867963046,1.707498241,0.160464806
?,36639518,4.177247101,11744725,3.981288263,5.44352207,6.82489249,1.867963046,0.98046497,0.887498077
ìdâe,35953657,4.17693334,64156572,4.006315861,5.442623541,7.013532278,1.862053092,1.571716069,0.290337023
ëÂó§,35931714,4.17692318,5897560,3.967741969,5.442594462,6.735832665,1.861861831,0.701325986,1.160535846
í¬,35794400,4.176859426,74616209,4.008075397,5.442412019,7.028404483,1.860661838,1.618329817,0.242332022
?,34930557,4.176451296,14114844,3.984530621,5.441245086,6.847356246,1.852986485,1.050872813,0.802113673
sum,34143840,4.176068605,5957554,3.967958118,5.440152447,6.737199031,1.8457998,0.705608566,1.140191234
?,34085370,4.176039729,53550828,4.004122775,5.440070062,6.995355882,1.845257922,1.514746041,0.330511881
Dee,32877294,4.175429037,1131036,3.924155157,5.438329729,6.48733307,1.833811111,-0.077542885,1.911353996
êV,32685732,4.175329656,65271120,4.00651984,5.438046872,7.015242865,1.831950653,1.577077538,0.254873115
ÉÅ,32559065,4.175263545,83146425,4.009296753,5.437858765,7.038887483,1.830713407,1.65118654,0.179526867
î¸,31833940,4.174878868,133267440,4.014254879,5.436765106,7.082910836,1.823520009,1.78916833,0.034351679
î¸ö†,31833940,4.174878868,51091392,4.003535949,5.436765106,6.990557005,1.823520009,1.499704985,0.323815024
Minecraft,31784524,4.17485226,1486212,3.932641512,5.436689512,6.532148562,1.823022798,0.062921698,1.7601011
NewJeans,30797295,4.174309719,79643436,4.008814985,5.435149698,7.034736381,1.812894877,1.638175796,0.174719081
?,30604184,4.174201079,127996962,4.013852985,5.434841713,7.07924873,1.810869147,1.777690242,0.033178905
?,28518082,4.172970637,26465710,3.99457069,5.431361636,6.920289873,1.787979396,1.279467679,0.508511717
nh,28290747,4.17282985,36377337,3.999087968,5.430964389,6.955012378,1.785366555,1.388297948,0.397068607
37,28256660,4.17280862,32834350,3.997671293,5.430904501,6.943981415,1.784972655,1.353723754,0.431248901
?,27212446,4.172142491,7707872,3.973281248,5.429027671,6.771381413,1.772628053,0.812745936,0.959882117
?,27212446,4.172142491,7707872,3.973281248,5.429027671,6.771381413,1.772628053,0.812745936,0.959882117
?,27212446,4.172142491,7707872,3.973281248,5.429027671,6.771381413,1.772628053,0.812745936,0.959882117
?,26942342,4.171965031,6691228,3.97040009,5.428528394,6.752751051,1.76934412,0.754353051,1.014991069
ÉA,26047252,4.171360863,104582016,4.011779483,5.426830833,7.06062491,1.75817864,1.719317857,0.038860783
Éj,26047252,4.171360863,66517140,4.006742801,5.426830833,7.017116636,1.75817864,1.582950474,0.175228167
‡yú[,25648462,4.171083369,416130,3.887717202,5.426052303,6.309162953,1.753057958,-0.635979037,2.389036995
ââè•,25643430,4.171079834,19884069,3.990196385,5.426042389,6.887844687,1.752992748,1.177775178,0.57521757
??,25381731,4.170894775,81269,3.805017539,5.425523601,5.96414328,1.74958049,-1.717369459,3.466949949
??,25082158,4.170680018,86625248,4.009750786,5.424921962,7.042819088,1.745623287,1.663509314,0.082113973
ê^ëä,24875802,4.170530234,53840376,4.004189647,5.4245026,6.99590444,1.742864989,1.516465377,0.226399612
í∑,24875802,4.170530234,91662975,4.010369465,5.4245026,7.048207378,1.742864989,1.680397757,0.062467232
çÇ,24779080,4.170459499,44411500,4.001746146,5.424304629,6.976082067,1.741562866,1.454336387,0.287226479
Game,24632422,4.170351592,35300622,3.998676289,5.424002712,6.951793022,1.739577042,1.378207564,0.361369477
êlóﬁ,23355822,4.169377449,35893584,3.998904912,5.421282008,6.953579454,1.721681969,1.383806755,0.337875214
?,23341167,4.169365887,17350100,3.987999767,5.421249767,6.871951718,1.721469912,1.127962062,0.59350785
?,23287038,4.169323103,88575806,4.009995529,5.421130479,7.044946335,1.720685311,1.670176715,0.050508596
Me,22418479,4.168619307,44275877,4.001706384,5.419170589,6.975763198,1.707794394,1.45333696,0.254457434
îÉ,22307432,4.168526899,25919214,3.994261811,5.418913592,6.917962316,1.706104025,1.272172449,0.433931576
ë‰,21790488,4.168089117,10175208,3.978653899,5.417697109,6.80699035,1.698102769,0.924354538,0.773748231
éE,21752639,4.168056561,84402712,4.009463403,5.417606712,7.040328341,1.697508197,1.6557026,0.041805597
?íT,21630120,4.167950693,7060859,3.971507202,5.417312821,6.759873157,1.695575171,0.776675769,0.918899402
?,21263568,4.16762948,84740775,4.00950772,5.416421745,7.040711941,1.689714232,1.656904914,0.032809317
??,21222270,4.167592861,40623310,4.000574674,5.41632022,6.966735203,1.689046468,1.42504064,0.264005829
·¢åª,21149210,4.167527864,10420704,3.979098196,5.416140045,6.809988458,1.687861385,0.933751468,0.754109917
ím?,21089970,4.167474958,62307792,4.005967571,5.415993413,7.010619506,1.686896934,1.562586607,0.124310327
??,20949435,4.16734871,30099380,3.996440497,5.415643614,6.934504489,1.68459618,1.324020355,0.360575825
13,20846990,4.167256019,32809015,3.997660485,5.415386881,6.943897768,1.682907553,1.353461581,0.329445972
„S‡Z,20756940,4.167174077,26352062,3.994507115,5.415159984,6.919810334,1.681415165,1.277964665,0.4034505
èÄîı,20534185,4.166969477,3707248,3.957224523,5.414593707,6.671211774,1.677690551,0.498785613,1.178904938
21,20531530,4.166967022,54944331,4.004440555,5.414586914,6.997965788,1.677645871,1.522926233,0.154719638
29,20531530,4.166967022,6137634,3.968590959,5.414586914,6.741208933,1.677645871,0.718176746,0.959469125
?,20220642,4.166676795,52303531,4.003829467,5.413784284,6.992953965,1.672366678,1.507217745,0.165148933
âFíà,20019276,4.166485854,15177945,3.985771503,5.413256633,6.856085132,1.668896126,1.078231641,0.590664484
êi,19535439,4.166017199,8014336,3.974057937,5.411962895,6.776457732,1.660386733,0.828656573,0.831730159
â≠,19519003,4.166001028,6450480,3.969637156,5.411918287,6.747869207,1.660093331,0.739051952,0.921041379
ävñΩ,19066677,4.165549265,273664,3.8695618,5.410673045,6.227407855,1.651902917,-0.892222918,2.544125835
ëzìû,18988536,4.16546988,17920152,3.988527382,5.41045441,6.875745843,1.650464871,1.139853938,0.510610934
âÌÈj,18570610,4.165038337,262551,3.867661813,5.409266841,6.219079208,1.642653797,-0.91832728,2.560981077
??,18141013,4.164582055,377640,3.883678097,5.408012922,6.290619274,1.634406311,-0.694100235,2.328506546
ê^ìI,17895822,4.164315607,27151278,3.994947113,5.407281509,6.923134209,1.629595537,1.288382642,0.341212895
êkùû,17600730,4.163988888,46638615,4.002378203,5.406385467,6.981166473,1.623701939,1.470272371,0.153429568
å¥àˆ,17508667,4.163885571,60711780,4.005656375,5.406102302,7.008025425,1.621839454,1.554456014,0.06738344
ô»,17175405,4.163505879,46636740,4.002377686,5.405062437,6.981162309,1.614999882,1.470259319,0.144740564
?,17011700,4.163316017,51588432,4.003657346,5.404542914,6.991547565,1.61158279,1.502809686,0.108773104
200,16994046,4.163295408,1982682,3.940998992,5.404486538,6.577771939,1.611211983,0.205918421,1.405293562
ñ‚ëË,16919368,4.163207934,9149569,3.976641767,5.404247298,6.793516798,1.609638414,0.882124571,0.727513843
åæ,16583868,4.162808978,4247568,3.960432565,5.403156962,6.690550787,1.602466869,0.559399616,1.043067253
ó§,16583868,4.162808978,1696552,3.936553588,5.403156962,6.55331123,1.602466869,0.129251557,1.473215312
·∏‡jËª,16488297,4.162693503,2578308,3.948115429,5.402841617,6.617907607,1.600392731,0.331715094,1.268677637
‡j,16488297,4.162693503,2578308,3.948115429,5.402841617,6.617907607,1.600392731,0.331715094,1.268677637
?,15903176,4.161968017,21499280,3.991421988,5.400862934,6.896825497,1.587378205,1.205923608,0.381454596
äﬂ,15682186,4.161685384,18414458,3.988968228,5.400093251,6.878927182,1.582315717,1.149825165,0.432490551
ñ¢ò“,15312992,4.161202054,23540890,3.992816288,5.398778522,6.907144914,1.573668261,1.238267616,0.335400646
èóôZ,15011472,4.160796514,19844280,3.99016464,5.397676848,6.887613169,1.566422143,1.177049533,0.38937261
în,14804447,4.160512196,52678920,4.003918651,5.396905269,6.993683592,1.56134718,1.509504605,0.051842575
TVB,14570288,4.160184633,20479620,3.990662273,5.396017134,6.891248801,1.555505593,1.188444645,0.367060947
âäñæ‡î,14402598,4.159946031,2338020,3.945518838,5.395370738,6.603118164,1.55125401,0.285360747,1.265893263
?,14259041,4.159739024,39698565,4.000267901,5.394810303,6.964303691,1.547567819,1.417419584,0.130148235
?,14259041,4.159739024,13232855,3.983409216,5.394810303,6.83953149,1.547567819,1.026347788,0.521220031
ëË,14184165,4.159630029,3109241,3.952913948,5.394515355,6.645701812,1.545627842,0.418830088,1.126797754
AV,14160645,4.159595645,525238,3.89702238,5.394422329,6.352721159,1.545015973,-0.499455148,2.044471121
‰›,13942145,4.159272807,18623844,3.989150543,5.393549343,6.880245849,1.539274023,1.153958243,0.38531578
íÜï∂,13837960,4.159116663,45517198,4.002064763,5.393127408,6.978641417,1.5364988,1.462358122,0.074140678
âeï–,13819890,4.159089433,46638615,4.002378203,5.393053847,6.981166473,1.536014963,1.470272371,0.065742592
è•,13676496,4.158871782,35941680,3.998923249,5.392466071,6.953722892,1.532148941,1.38425633,0.147892611
ì¡ï ,13676496,4.158871782,1429620,3.93146971,5.392466071,6.525873255,1.532148941,0.043253087,1.488895853
óﬁ,13346184,4.158359506,24676839,3.993528369,5.391084109,6.912458306,1.523059269,1.254921306,0.268137963
LIVE,13195280,4.158120231,33842748,3.998093229,5.390439316,6.947252884,1.518818233,1.363977473,0.154840759
éñåè,13038861,4.157868617,45498294,4.002059397,5.389761749,6.978598252,1.514361625,1.46222283,0.052138795
åÇ,13023626,4.157843911,3394925,3.955091325,5.389695245,6.658521196,1.513924202,0.459009709,1.054914493
ì˙èÌ,12875200,4.157601329,35970655,3.998934281,5.389042511,6.9538092,1.509630927,1.384526845,0.125104082
‡y,12824231,4.15751723,8959494,3.976237921,5.388816322,6.790832793,1.508143199,0.873712131,0.634431068
ú[,12824231,4.15751723,1705694,3.936709736,5.388816322,6.554162859,1.508143199,0.131920805,1.376222394
ï¯,12783635,4.157449949,4007168,3.959071995,5.388635409,6.682310836,1.506953268,0.533573251,0.973380018
ó†,12689526,4.157292961,4495456,3.961738491,5.38821341,6.69851375,1.504177629,0.584357822,0.919819807
?,12569228,4.157090179,11473876,3.980866119,5.38766859,6.822003207,1.500594147,0.971409132,0.529185015
õîåà,12508652,4.156987158,21662421,3.991539368,5.387391922,6.897690003,1.498774398,1.208633215,0.290141182
çÇê¥,12389540,4.156782776,152876,3.841010286,5.386843283,6.106265292,1.495165795,-1.27191839,2.767084184
ñæéu,12389540,4.156782776,476619,3.89320562,5.386843283,6.33470921,1.495165795,-0.555909755,2.051075549
ñÒ,12345084,4.156705872,2564656,3.947976119,5.386636925,6.617109767,1.493808501,0.329214436,1.164594066
õwéq,11896566,4.155910321,30831990,3.996783469,5.384504828,6.937135544,1.479784918,1.332266835,0.147518083
â¬úÜ,11733820,4.155612441,13766808,3.984098829,5.383707724,6.844336281,1.474542073,1.041407377,0.433134696
?,11643519,4.155444949,4312365,3.960782933,5.38325982,6.692681946,1.471596042,0.566079277,0.905516765
?,11643519,4.155444949,12125779,3.981862052,5.38325982,6.828832526,1.471596042,0.992814172,0.478781871
?,11643519,4.155444949,32209384,3.997401599,5.38325982,6.941896455,1.471596042,1.347188892,0.124407151
?,11643519,4.155444949,9409896,3.977178214,5.38325982,6.797092433,1.471596042,0.893331632,0.57826441
ìåêº,11621121,4.155403156,2454770,3.946820033,5.383148091,6.610508016,1.470861161,0.308522657,1.162338504
ìπ,11153716,4.154507614,22433490,3.992079617,5.380757061,6.901678915,1.455134474,1.221135609,0.233998865
íj,11153716,4.154507614,30487044,3.996623263,5.380757061,6.935905614,1.455134474,1.328411881,0.126722593
éËä˜,11142366,4.154485293,5192316,3.964975498,5.380697543,6.718486703,1.454743,0.646958774,0.807784226
àÍâ∆,11079540,4.154361232,10596208,3.979407899,5.380366795,6.812083347,1.452567553,0.940317451,0.512250102
óaåæ,11055912,4.154314349,4247568,3.960432565,5.380241835,6.690550787,1.451745643,0.559399616,0.892346027
äX,10992198,4.154187308,7171782,3.971825413,5.379903304,6.761928642,1.449519,0.783118247,0.666400753
ëSêV,10856898,4.153914487,2803580,3.950289452,5.379176706,6.630423929,1.444739899,0.370944831,1.073795068
äÿö†,10686336,4.153564516,26219205,3.994432359,5.378245434,6.919246774,1.438614575,1.276198308,0.162416267
é¸ê[,10508208,4.153191576,28995387,3.995903511,5.377254019,6.930400014,1.432093677,1.311155754,0.120937923
èW,10381700,4.152921936,27972585,3.995382763,5.376537839,6.926436864,1.427383094,1.298734108,0.128648987
âã÷,10039472,4.152171683,1139848,3.924404298,5.374547873,6.488628457,1.414294354,-0.07348277,1.487777124
ãS,10039472,4.152171683,3301260,3.954403432,5.374547873,6.654456776,1.414294354,0.446270652,0.968023702
äsê≥ó∫,9762370,4.151540669,16440081,3.987111063,5.372877284,6.865593475,1.403306276,1.10803351,0.295272766
éûë„,9570620,4.151090918,4966070,3.963987067,5.371688303,6.712351679,1.395485912,0.627729852,0.76775606
óaë™,9570620,4.151090918,3199875,3.953630873,5.371688303,6.649908047,1.395485912,0.432013635,0.963472277
âÃ,9456110,4.150816991,20586192,3.990743861,5.370964834,6.891846167,1.390727392,1.19031696,0.200410432
âfëú,9456110,4.150816991,1366379,3.930089814,5.370964834,6.518520199,1.390727392,0.020206504,1.370520888
ÉV,9456110,4.150816991,2732758,3.94963015,5.370964834,6.626615064,1.390727392,0.359006758,1.031720635
?,9401056,4.15068383,6111716,3.968501313,5.370613332,6.740640047,1.388415433,0.716393694,0.672021738
ëñ,9194682,4.150175955,25410240,3.993966748,5.369273843,6.915744213,1.379605117,1.265220278,0.114384839
âÒâ∆,9046114,4.149801537,11107040,3.980274136,5.368287487,6.817964853,1.373117496,0.958751774,0.414365722
ëOïv,8863632,4.149331118,2309676,3.945190684,5.3670496,6.60126118,1.364975453,0.279540427,1.085435027
ñº,8859820,4.149321164,20457576,3.990645331,5.367023422,6.8911248,1.364803273,1.188055992,0.176747282
äJ,8800365,4.149165221,25961201,3.994285829,5.366613414,6.918143097,1.362106496,1.272739068,0.089367428
ùTâπ,8652048,4.148770465,28106278,3.995452169,5.365576253,6.926964107,1.355284709,1.30038664,0.054898069
óÃì±,8648725,4.148761525,2526450,3.947581283,5.365552777,6.614851236,1.355130298,0.322135553,1.032994745
ö†,8648725,4.148761525,12524088,3.982438278,5.365552777,6.832804353,1.355130298,1.005263014,0.349867284
ìV,8547810,4.148487992,23361624,3.992700001,5.36483475,6.906280007,1.350407571,1.235556747,0.114850824
?,8505850,4.148373081,3862557,3.958203547,5.36453326,6.677080737,1.348424561,0.517180623,0.831243938
?,8505850,4.148373081,8492332,3.975198248,5.36453326,6.783953435,1.348424561,0.852150253,0.496274308
íjõw,8459684,4.14824584,11164104,3.980367812,5.364199524,6.818602851,1.346229455,0.960751442,0.385478013
?,8437377,4.14818405,15271800,3.985875825,5.364037498,6.85682241,1.345163749,1.080542481,0.264621268
çêëi,8365287,4.147982975,829650,3.913807243,5.363510413,6.434540304,1.341696916,-0.243010526,1.584707442
óaçê,8358720,4.147964552,3564254,3.956276816,5.363462133,6.66555747,1.341379364,0.481063405,0.860315959
ï–,8291934,4.147776168,15546205,3.986176306,5.362968587,6.858949014,1.338133126,1.087207868,0.250925258
ëò,8014752,4.14697379,9958068,3.978249636,5.360869114,6.804269705,1.324324123,0.91582726,0.408496863
Feat,7951588,4.146786142,23812383,3.992990316,5.36037874,6.90844074,1.321098752,1.242329103,0.07876965
è¨êS,7881156,4.146574718,1397571,3.930780141,5.359826515,6.522193828,1.317466563,0.031720709,1.285745854
â∫î«,7809896,4.146358419,4199314,3.96016729,5.359261864,6.688939751,1.31375265,0.554350168,0.759402482
