,tot_view,totdat_YJwordview_after_x
최,32100453,3.997353924222286
肉肉,31750996,3.997199607865381
а,31551952,3.9971107626200446
帽子,31379804,3.9970333573325534
狙擊手,31379804,3.9970333573325534
狙,31379804,3.9970333573325534
斃,31379804,3.9970333573325534
一槍擊,31379804,3.9970333573325534
IG,30921393,3.996824627137056
Error,30289031,3.996530273313837
ế,30133856,3.9964568698781724
星空,29687228,3.996242940738995
仰望,29687228,3.996242940738995
ộ,29497704,3.996150945085032
ả,29497704,3.996150945085032
👗,29324860,3.9960664012144367
ASMR,29308826,3.996058526964117
以色列,29285560,3.996047091544982
斗罗,28761136,3.995786287768103
า,28684690,3.995747775108634
อ,28684690,3.995747775108634
น,28684690,3.995747775108634
้,28684690,3.995747775108634
こ,28103676,3.9954508217061515
ツ,28103676,3.9954508217061515
福岡,28103676,3.9954508217061515
女王,27957834,3.995375079331284
iPhone,27489288,3.9951283687310046
ز,27264740,3.995008268447808
ذ,27264740,3.995008268447808
書,26703918,3.9947028464084045
思議,26682922,3.9946912570741935
🔵,26578047,3.99463319765988
🤝,26572952,3.994630369766003
🐵,26572952,3.994630369766003
SuperShy,26547812,3.9946164063297873
ㄷ,26449456,3.9945616179209207
버,26322548,3.99449054838752
خ,26102852,3.9943665012668306
GET,25099278,3.993782826373604
🥊,25099278,3.993782826373604
냥,25064688,3.9937621923122406
블,25064688,3.9937621923122406
왔,25064688,3.9937621923122406
신,25024788,3.993738346526474
uc,24876266,3.9936491656643804
tn,24576557,3.993467165639514
hold,24089939,3.993165691160828
깍,24001825,3.993110289905346
두,24001825,3.993110289905346
✌,24001825,3.993110289905346
ahi,23616020,3.9928646963618317
폼,23584347,3.992844312207795
친,23584347,3.992844312207795
즈,23584347,3.992844312207795
Live,23541454,3.992816652602769
Đ,23524740,3.992805857543213
운,23459400,3.9927635645087607
บ,22947752,3.99242722708581
타,22450940,3.992091574059799
취,22450940,3.992091574059799
õ,22123278,3.9918650918804572
ậ,22123278,3.9918650918804572
금,21499280,3.9914219875641512
🧱,20656098,3.9907970932878696
🇪,20407656,3.99060687984147
Red,20311655,3.9905326042417144
Inosuke,20311655,3.9905326042417144
🟡,20311655,3.9905326042417144
🌱,20310060,3.9905313665024145
TR,20252363,3.9904865112853805
02,20252363,3.9904865112853805
😣,19901690,3.9902104182270994
嘟嘟,19809900,3.9901371470553353
📸,19728383,3.9900717205541434
к,19719970,3.990064948999505
о,19719970,3.990064948999505
麒麟,19369320,3.9897794673590994
으,19345662,3.989759974501784
呆呆,19260089,3.989689218243891
蛙人,19260089,3.989689218243891
眾望,19260089,3.989689218243891
第二期,19260089,3.989689218243891
mc,19140715,3.989589856167498
음,18768591,3.9892750882258783
ì,18677144,3.98919654380224
Insta360,18644527,3.989168412773441
🥣,18644527,3.989168412773441
宠,18136510,3.988722183058983
📈,17909114,3.988517365452189
46,17873400,3.9884849029839735
Hit,17873400,3.9884849029839735
Kitsch,17607484,3.9882406263763173
爷爷,17490616,3.988131809413188
44,17455124,3.9880985828984388
ズ,17430336,3.9880753271450002
🏔,17399773,3.9880465965465244
Allergy,17396588,3.9880435988834546
ấ,17249460,3.98790437420871
🤓,17225143,3.9878812208966603
ล,17210814,3.987867558521453
ง,17210814,3.987867558521453
🏴,17084930,3.9877469181909326
🗡,17084930,3.9877469181909326
십,16984664,3.987650033169019
🕳,16978935,3.987644475827981
首播,16948155,3.9876145780231402
cue,16726840,3.9873975938322666
影響,16478623,3.98714993525816
😯,16353756,3.9870235842706485
真实,16260300,3.986928228038358
dog,16210723,3.9868773652002854
TS,16122578,3.9867864533966726
ứ,16104692,3.986767930336172
ủ,16104692,3.986767930336172
у,15775976,3.986422869062161
💄,15746479,3.986391467619445
睡覺,15405868,3.9860234667523433
Rap,15253388,3.985855423133668
界,15177945,3.98577150337239
ọ,15066928,3.9856470622793756
ề,15066928,3.9856470622793756
毛,14722970,3.985254136628402
🥞,14552190,3.9850547671780157
🍫,14552190,3.9850547671780157
Drama,14470582,3.9849584648241376
ろ,14051838,3.9844534429840426
行列,14051838,3.9844534429840426
鉄,14051838,3.9844534429840426
ハ,14051838,3.9844534429840426
座,14051838,3.9844534429840426
福,14051838,3.9844534429840426
nph,14021628,3.984416284446354
ơ,14007858,3.98439931410866
目,13828668,3.9841765635922832
大姨,13821255,3.9841672711013922
،,13632370,3.9839283785568047
🇩,13605104,3.9838935531077126
🛝,13521842,3.9837866660012966
Á,13456095,3.9837016822503974
思,13341461,3.9835522624804227
高原,13323450,3.983528640549089
Barbie,13291856,3.983487107815862
즘,13224728,3.9833984529527577
⛳,13221021,3.9833935408394474
政策,13176031,3.983333787767682
글,13161274,3.9833141329685233
EVERGLOW,13161274,3.9833141329685233
2013,13123606,3.9832638382697954
ث,13051426,3.9831669580715285
غ,13051426,3.9831669580715285
ى,13051426,3.9831669580715285
大佬,13048872,3.98316351785704
霞,13008240,3.983108673760433
张大,13008240,3.983108673760433
青岛,13008240,3.983108673760433
엑,12970041,3.983056918553837
甜,12954650,3.983036011803138
출,12738498,3.9827390842517114
💎,12738498,3.9827390842517114
안,12720495,3.9827140705107698
😜,12570702,3.982504218830063
🎬,12546181,3.982469569354775
BLACKPINK,12532344,3.982449979656029
랙,12532344,3.982449979656029
JENNIE,12532344,3.982449979656029
FLOWERchallenge,12532344,3.982449979656029
젠,12532344,3.982449979656029
🌷,12532344,3.982449979656029
帝國,12524088,3.982438278396061
악,12512394,3.982421687979152
這部,12436964,3.982314208028962
貓,12347344,3.982185447535676
現,12142356,3.9818865021067764
eagle,12125779,3.9818620522743737
ü,12110115,3.981838910728178
聚焦,12105825,3.9818325662946417
ncho,11958606,3.9816131317371095
文,11868408,3.981477018173858
с,11831982,3.9814216833611913
т,11831982,3.9814216833611913
в,11831982,3.9814216833611913
н,11831982,3.9814216833611913
一夜,11825880,3.9814123930325236
엠,11729700,3.981265164218736
吴予,11630184,3.981111236089956
💅,11527496,3.9809506706960285
影,11491818,3.98089446583756
จ,11473876,3.980866118880179
ก,11473876,3.980866118880179
ด,11473876,3.980866118880179
โ,11473876,3.980866118880179
ถ,11473876,3.980866118880179
แ,11473876,3.980866118880179
霸道,11473657,3.9808657725359944
food,11390552,3.9807337454337812
包,11326601,3.98063132758554
张律,11257248,3.9805194404353736
특,11216931,3.9804540013123955
💓,11076588,3.980223901033787
劍,10943450,3.9800022292051946
🖤,10852302,3.9798485218723854
ヲ,10515326,3.9792659710726035
芸,10515326,3.9792659710726035
Jimin,10503528,3.9792451547997083
毆,10487682,3.979217150364664
Lisa,10424019,3.9791041055525467
덤,10410060,3.9790792038264433
TheDonutDoctor,10397272,3.979056354506837
追,10363720,3.9789962375995507
甜宠,10363720,3.9789962375995507
腹黑,10363720,3.9789962375995507
📊,10328049,3.9789320572902884
英雄,10319144,3.978915992040183
狈,10294165,3.978870835765022
深,10233666,3.9787608991206285
忙,10154672,3.9786161282196164
⛷,9979681,3.9782903649887054
🏂,9979681,3.9782903649887054
仇,9958068,3.9782496364370235
ㄧ,9956488,3.9782466546890234
剧社,9845856,3.978036392957445
LISA,9778958,3.977907815651648
步美,9776574,3.977903213405716
酷,9768696,3.977887995189018
人间,9756180,3.9778637860910666
虎,9684660,3.977724701664466
總理,9582568,3.9775239300467407
帶娃,9536400,3.9774322595921547
點,9416356,3.9771912895256696
干,9416356,3.9771912895256696
ĩ,9409896,3.977178213585796
Ø,9392429,3.9771428018345443
醒醒,9381040,3.977119668080178
á,9338572,3.977033095826167
隨時,9327723,3.9770109010949533
下架,9327723,3.9770109010949533
宇,9106767,3.9765517447727676
小舞,9082464,3.9765003951387805
☀,9048260,3.9764278348477875
乘风,9004068,3.97633357811866
纯享,8974779,3.976270789510923
Ố,8970730,3.976262089327235
Ộ,8970730,3.976262089327235
Ề,8970730,3.976262089327235
SB,8914460,3.9761406715083427
十,8901306,3.9761121503534955
一段,8901306,3.9761121503534955
牦牛,8882300,3.9760708476650866
藏獒,8882300,3.9760708476650866
🍄,8859349,3.9760208248441233
른,8807460,3.975907132308844
푸,8807460,3.975907132308844
염,8807460,3.975907132308844
케,8807460,3.975907132308844
牢,8745308,3.9757698486842314
阿木,8745308,3.9757698486842314
绝户,8745308,3.9757698486842314
牢不可破,8745308,3.9757698486842314
技,8745308,3.9757698486842314
技艺,8745308,3.9757698486842314
榫,8745308,3.9757698486842314
木工,8745308,3.9757698486842314
ظ,8696679,3.9756615842427987
ENGSUB,8673260,3.9756091761099626
Apink,8640094,3.975534653095971
完整,8615124,3.975478310535119
江,8537056,3.975300835388538
𤒹,8537056,3.975300835388538
范丞丞,8528055,3.9752802430130054
말,8492332,3.9751982484168558
피,8492332,3.9751982484168558
雙,8475918,3.975160429243537
水上,8451272,3.9751034710789503
Joeman,8425610,3.9750439444126218
抽,8373078,3.9749213810119577
小狗,8337489,3.974837801632135
动物,8337489,3.974837801632135
穿越,8315928,3.9747869498156265
興,8273072,3.974685383778991
ợ,8052346,3.9741516832952475
斤,7937749,3.973867350450338
99,7937749,3.973867350450338
算,7937749,3.973867350450338
æ,7937461,3.973866629442806
撕,7933872,3.973857641650659
п,7887988,3.9737422876106057
и,7887988,3.9737422876106057
一路,7816410,3.9735606574168454
⁠,7805808,3.973533578407684
Frozen,7768928,3.9734390233013355
董事,7745164,3.9733777988101586
중,7725114,3.9733259604726032
小可,7703850,3.973270799808198
易,7702934,3.9732684193613874
周杰倫,7661212,3.973159619074209
商場,7632330,3.9730838686391015
夷,7568841,3.972916089048256
ngo,7533464,3.972821836745597
Eagle,7533464,3.972821836745597
ẻ,7533464,3.972821836745597
感動,7510272,3.972759748084954
ㄎ,7467366,3.972644249318159
ㄤ,7467366,3.972644249318159
膽了,7421807,3.9725206998039226
豹子,7421807,3.9725206998039226
熊心豹子,7421807,3.9725206998039226
ê,7374426,3.972391202298575
🎂,7271862,3.9721072962576196
演,7263495,3.97208391564813
男女,7180328,3.971849674077569
MAD,7163402,3.9718015872899493
music,7120115,3.9716779617941875
涉,7062267,3.971511280244273
楊,7041606,3.971451335242562
酷拉,6977640,3.971264347555369
跑酷,6977640,3.971264347555369
烤,6943036,3.9711622989017146
一期,6914334,3.9710771732403654
學,6832948,3.9708333794636093
限定,6831895,3.9708302014873103
2024,6755724,3.970598682478287
唐三小舞,6699024,3.970424221742184
람,6691228,3.9704000902344267
Rock,6655734,3.9702897783954563
Ệ,6618178,3.9701722566966366
Ế,6618178,3.9701722566966366
ych,6606762,3.9701363684401523
행,6606762,3.9701363684401523
More,6563810,3.9700006452271093
玉折,6545895,3.9699437083463875
キ,6545895,3.9699437083463875
懐,6545895,3.9699437083463875
み,6545895,3.9699437083463875
悬疑,6517716,3.969853756524418
OST,6448554,3.9696309098918126
곳,6448554,3.9696309098918126
BayashiTV,6427113,3.969561219196609
痴子,6401381,3.9694771976287524
經驗,6399750,3.9694718578109214
三大,6398841,3.969468881051078
全场,6338454,3.9692699387584742
BC,6287346,3.9690997106101102
Titan,6283978,3.969088432084799
iC,6283978,3.969088432084799
90,6270648,3.969043719455266
太平洋,6262044,3.9690147962081808
網,6218482,3.9688675937383393
フ,6212852,3.9688484753429814
香,6207948,3.9688318046955384
„,6158269,3.9686619949729525
闪婚,6153660,3.9686461542423186
金雕,6132574,3.9685734944125692
猎捕,6132574,3.9685734944125692
RAP,6127037,3.9685543629314037
硬核,6109642,3.9684941191052956
虛擬,6071178,3.9683601448648833
世,6071178,3.9683601448648833
😖,6044869,3.9682678968922818
andymallet1,6015794,3.968165366418493
讚,6015054,3.96816274881505
扮,5976485,3.9680257601977327
被捕,5956223,3.9679533516860994
哈哈哈,5935000,3.9678771789281977
王牌,5929238,3.967856439556672
寶寶,5889188,3.9677115884689758
揭露,5875767,3.967662773035068
監控,5779136,3.967307149306162
進行,5769558,3.9672714966669536
蔡依林,5743865,3.967175492828793
ต,5736938,3.9671495179135086
ใ,5736938,3.9671495179135086
ญ,5736938,3.9671495179135086
ณ,5736938,3.9671495179135086
ไ,5736938,3.9671495179135086
ุ,5736938,3.9671495179135086
ย,5736938,3.9671495179135086
์,5736938,3.9671495179135086
ร,5736938,3.9671495179135086
ำ,5736938,3.9671495179135086
ห,5736938,3.9671495179135086
ฟ,5736938,3.9671495179135086
เ,5736938,3.9671495179135086
ป,5736938,3.9671495179135086
ซ,5736938,3.9671495179135086
ั,5736938,3.9671495179135086
以來,5733228,3.9671355900449354
推荐,5732936,3.967134493358392
内容,5691105,3.966976662013352
契约,5656074,3.9668433707368265
無人,5647824,3.9668118301085347
TikTok,5594517,3.966606637615457
45,5594517,3.966606637615457
hea,5585123,3.966570225041251
動,5582112,3.966558537785714
套,5582052,3.9665583048146797
詐騙,5582052,3.9665583048146797
談,5574888,3.9665304656126263
甜寵,5560872,3.9664758704321357
图鉴,5558326,3.9664659348313207
慘遭,5532260,3.9663638864332733
員工,5532260,3.9663638864332733
低,5522391,3.966325092744074
玄師,5500990,3.9662406706256705
米津,5500990,3.9662406706256705
外長,5480027,3.966157578419091
ブ,5439260,3.9659948475914035
💖,5426151,3.9659421966604307
ROS,5426151,3.9659421966604307
남,5426151,3.9659421966604307
만,5426151,3.9659421966604307
🤤,5394729,3.9658153452748777
跌,5375400,3.965736855160536
佔,5368671,3.9657094478106902
华晨,5353845,3.9656489098064225
絆,5352644,3.9656439966953747
奇跡,5352644,3.9656439966953747
宋雨琦,5282045,3.965352747927809
TAKE,5257663,3.9652510331126853
今回,5257663,3.9652510331126853
羞辱,5243841,3.9651931101064037
黑幫,5243841,3.9651931101064037
少,5192316,3.9649754983675405
绑架,5189607,3.964963982695159
拋棄,5181860,3.96493100961646
胞胎,5181860,3.96493100961646
傷害,5181860,3.96493100961646
呱呱,5140720,3.964754872304129
副,5119905,3.9646650838729673
差,5119905,3.9646650838729673
奔,5116833,3.9646517938341335
泥潭,5116833,3.9646517938341335
識,5107912,3.96461314348841
免職,5089656,3.964533786179735
選,5088220,3.964527528957237
면,5027518,3.964260994718714
最火,5016319,3.964211383008488
加沙,5004420,3.9641585187704007
佼,4978244,3.964041671929791
旅游,4921763,3.963786916855658
球星,4884908,3.9636187107692513
郭,4842330,3.963422404218467
全网,4842330,3.963422404218467
연,4812645,3.9632842634921808
姐,4809915,3.9632715059743706
局勢,4807593,3.9632606479685295
神曲,4792224,3.9631886150863145
聲,4792224,3.9631886150863145
老虎,4781188,3.9631367126357184
中國大陸,4718048,3.9628368649595895
相互,4708178,3.9627895409191733
實驗,4708178,3.9627895409191733
ừ,4704948,3.9627740270569407
ỏ,4704948,3.9627740270569407
ngh,4704948,3.9627740270569407
ễ,4704948,3.9627740270569407
🦎,4695383,3.962728007864526
暴雨,4687630,3.9626906207388464
基隆,4655961,3.9625370995519047
散装,4632670,3.9624233590640987
砸,4617858,3.962350653877639
神奇,4612068,3.9623221543972997
小妙招,4608339,3.96230377592665
蛋糕,4608339,3.96230377592665
法,4608339,3.96230377592665
COMEBACK,4585779,3.9621921916174885
团,4546128,3.961994405127371
唐三,4541232,3.9619698338531246
唐舞桐,4541232,3.9619698338531246
訪華,4529275,3.9619096868768113
ý,4523201,3.961879057128945
逆襲,4515246,3.961838864299433
Ơ,4485365,3.96168709750345
Ư,4485365,3.96168709750345
Ằ,4485365,3.96168709750345
Ỉ,4485365,3.96168709750345
Ị,4485365,3.96168709750345
Ọ,4485365,3.96168709750345
Ổ,4485365,3.96168709750345
TRUY,4485365,3.96168709750345
Ắ,4485365,3.96168709750345
公審,4479747,3.961658422677017
超派,4479747,3.961658422677017
丽洁,4443376,3.9614716904402982
將他擊,4442248,3.961465868740093
抗戰,4442248,3.961465868740093
大佐,4442248,3.961465868740093
軍官,4442248,3.961465868740093
危急,4442248,3.961465868740093
赤手空拳,4442248,3.961465868740093
赤,4442248,3.961465868740093
顶,4441150,3.9614602001020507
护子,4441150,3.9614602001020507
护犊子,4441150,3.9614602001020507
太狠,4401680,3.9612552605977487
隊,4401680,3.9612552605977487
哈馬斯,4383102,3.961158003761286
34,4374152,3.9611109664219364
記,4356385,3.961017234240422
怒斥,4355292,3.96101145241751
20231008,4354720,3.961008425893413
😈,4334300,3.9609000553149443
火,4325052,3.9608507658216126
XO,4323347,3.960841664259386
EXO,4323347,3.960841664259386
底,4316868,3.960807037469975
旺仔,4316868,3.960807037469975
ể,4312365,3.9607829331589777
ẫ,4312365,3.9607829331589777
300,4297700,3.9607042142003284
409,4289273,3.960658827994875
20230409,4289273,3.960658827994875
09,4289273,3.960658827994875
室,4279520,3.9606061612302605
泰國,4279520,3.9606061612302605
II,4275107,3.9605822815812535
物種,4265894,3.9605323289554173
超能力,4265894,3.9605323289554173
랬,4246166,3.9604249105166613
멘,4246166,3.9604249105166613
져,4246166,3.9604249105166613
탈,4246166,3.9604249105166613
봉,4246166,3.9604249105166613
집,4240165,3.9603921117593606
완,4240165,3.9603921117593606
체,4240165,3.9603921117593606
났,4240165,3.9603921117593606
명,4240165,3.9603921117593606
경,4240165,3.9603921117593606
Ian,4223559,3.96030104839759
闺蜜,4212725,3.9602413963750878
ø,4183124,3.9600774332748796
港式,4173340,3.9600229203259554
APEC,4166672,3.959985677241596
這件,4165140,3.9599771099948526
一口气,4157964,3.959936928023943
🥤,4149648,3.9598902543468446
💿,4137637,3.959822636199422
JPEX,4123539,3.959742956044226
保護,4110932,3.9596714146671927
環境,4110932,3.9596714146671927
49,4099137,3.9596042330852868
溫情,4096512,3.959589248906411
祕,4095924,3.95958589080937
周海媚,4093836,3.959573961280321
街頭,4076820,3.95947645882464
反制,4010036,3.9590888220756244
不忍,4010036,3.9590888220756244
調,3978330,3.95890196150644
撕裂,3966936,3.9588343565317112
秃鹫,3966936,3.9588343565317112
白宮,3963597,3.9588144990874103
л,3943994,3.9586974954985776
П,3943994,3.9586974954985776
Ч,3943994,3.9586974954985776
ё,3943994,3.9586974954985776
е,3943994,3.9586974954985776
м,3943994,3.9586974954985776
ю,3943994,3.9586974954985776
р,3943994,3.9586974954985776
ш,3943994,3.9586974954985776
ы,3943994,3.9586974954985776
я,3943994,3.9586974954985776
М,3943994,3.9586974954985776
五十年,3941710,3.95868381593847
林俊傑,3891444,3.9583802320629604
聯盟,3889917,3.9583709332657815
芙,3886395,3.9583494683822655
霸氣,3886395,3.9583494683822655
잼,3862557,3.9582035469374235
션,3862557,3.9582035469374235
평,3862557,3.9582035469374235
릭,3862557,3.9582035469374235
不容,3851467,3.958135277669235
好不容易,3851467,3.958135277669235
抓住,3851467,3.958135277669235
紀,3851467,3.958135277669235
축,3850116,3.9581269442637077
倒影,3830606,3.95800619229319
不息,3824175,3.9579662212056523
声生,3824175,3.9579662212056523
久,3822152,3.957953630169319
感,3822152,3.957953630169319
妻,3816165,3.9579163186940707
萌寵,3779880,3.95768861536117
嫁給,3772524,3.9576421211331496
奶茶,3758310,3.9575519593140345
Ⅱ,3755357,3.957533174595276
宁荣荣,3753415,3.957520811042395
黑色,3750104,3.957499713485581
必看,3750104,3.957499713485581
水浸,3750104,3.957499713485581
情報,3729678,3.9573690442884506
古論,3716592,3.957284860768682
20231027,3716592,3.957284860768682
心臟病,3716592,3.957284860768682
文昭談,3716592,3.957284860768682
空姐,3709104,3.957236523337877
滾,3707248,3.9572245234494092
吵架,3706725,3.9572211406627047
宠妻,3692196,3.957126927902001
禮,3669801,3.9569807994390245
畫面,3669801,3.9569807994390245
林作,3665368,3.9569517420728535
🐐,3660331,3.95691867239824
以巴衝,3652585,3.9568677063271473
二胎,3650280,3.9568525141847983
火箭,3641634,3.9567954220782635
碰瓷,3640164,3.956785698423994
歡迎,3623420,3.9566745947585242
迎,3623420,3.9566745947585242
Coco,3594168,3.9564789508535756
家里,3569685,3.956313670850932
瑪利歐,3564254,3.956276815655089
大電,3564254,3.956276815655089
박,3559538,3.9562447556701152
150,3548312,3.9561682263373243
Pok,3538662,3.9561021991871645
結束,3538536,3.9561013355869075
1110,3531310,3.956051744558813
🪙,3496582,3.955811633544493
防身,3495894,3.955806846680897
還記,3485108,3.955731647580491
肉丝,3471518,3.9556364850986845
TOMBOY,3470020,3.955625967105758
BAG,3470020,3.955625967105758
한,3470020,3.955625967105758
情仇,3469248,3.9556205444075676
粉碎,3461544,3.955566347267781
保安,3459610,3.9555527180873584
离谱,3459538,3.9555522105094707
点,3459538,3.9555522105094707
🇫,3449604,3.9554820523333873
玫瑰,3446319,3.9554587968170196
有多麼,3441702,3.955426064911607
宣,3437230,3.9553943087440255
SpaceX,3423044,3.9552932305414634
收到,3414795,3.955234214272494
淚目,3413760,3.955226796968157
颱,3411264,3.955208897901539
よ,3394925,3.95509132462776
ピ,3394925,3.95509132462776
社長,3394925,3.95509132462776
轟,3386755,3.955032269522113
閃婚,3374605,3.9549441166027592
麻,3370244,3.954912379325964
瑶瑶别,3370180,3.9549119131833854
姥姥,3348240,3.954751460161408
杭州,3333528,3.9546431314600334
Alexa,3327136,3.9545958794256073
巧克力,3311826,3.954482240596945
Ó,3309089,3.954461856144208
Ữ,3309089,3.954461856144208
Ự,3309089,3.954461856144208
복,3303381,3.954419276762458
聪明,3302312,3.9544112922553434
滑步,3301260,3.9544034315772034
步,3301260,3.9544034315772034
ù,3299478,3.954390109118396
鴨,3266936,3.9541452317873538
Lorey,3252276,3.954033920222914
念,3243789,3.9539691932075396
觀光,3243789,3.9539691932075396
金磚,3240042,3.953940549093755
燈,3235225,3.9539036645880117
播放,3225240,3.953826989407843
