,tot_view_before_x,totdat_YJwordview_before_x,tot_view_after_x,totdat_YJwordview_after_x,YJwordview_before_x,YJwordview_after_x,sta_YJview_before_x,sta_YJview_after_x,diff_sta_YJ_view
10,760280472,4.213156854,5026805420,4.038023526,5.555232702,7.345562605,2.602725011,2.612394165,-0.009669153
ãh,89095261,4.190530545,430464806,4.024345573,5.482588187,7.181443379,2.124915288,2.097997527,0.026917761
?,54424892,4.183506566,255993924,4.020230377,5.461670609,7.139593386,1.987332671,1.966827668,0.020505004
ãÁ,30989656,4.174417103,142879482,4.014939179,5.435454239,7.089186897,1.814897956,1.808839303,0.006058653
è≠îN,16888508,4.163171647,69230880,4.007210867,5.404148072,7.021063991,1.608985767,1.595322611,0.013663155
ÉX,14184165,4.159630029,56207352,4.004720019,5.394515355,7.000267583,1.545627842,1.530140717,0.015487124
íºîd,13436037,4.158500396,52646825,4.003911057,5.391463983,6.99362144,1.525557841,1.509309803,0.016248038
êlê∂,13346184,4.158359506,53680814,4.004152851,5.391084109,6.995602558,1.523059269,1.515519192,0.007540077
?,12758775,4.157408618,50129376,4.003296749,5.388524289,6.988608519,1.506222389,1.493597873,0.012624516
î≈,11055912,4.154314349,40988921,4.000693569,5.380241835,6.96767936,1.451745643,1.427999897,0.023745746
??,10373482,4.15290428,44848968,4.001873376,5.376490961,6.977103177,1.427074763,1.457536837,-0.030462074
ê≥,10226908,4.152586435,39970350,4.00035898,5.37564746,6.965024897,1.421526745,1.419680049,0.001846696
?,9401056,4.15068383,37597032,3.999536347,5.370613332,6.958531816,1.388415433,1.399328874,-0.010913442
?,7780389,4.14626814,28969521,3.995890625,5.359026282,6.930301744,1.312203136,1.310847748,0.001355388
e,7469632,4.145290892,26108117,3.994369489,5.356479593,6.918773076,1.295452625,1.274713603,0.020739022
i,6703187,4.142649266,24251558,3.993266655,5.349626573,6.910502006,1.250377789,1.248789702,0.001588087
ç≈ã≠,6490290,4.141848613,22602448,3.992194909,5.347558264,6.902532314,1.236773757,1.223810406,0.012963352
ñvëzìû,6138648,4.14045243,20906844,3.990986201,5.34396112,6.89362268,1.21311402,1.195885061,0.017228959
ï¸óF,5352822,4.136940131,19969469,3.990264253,5.334964677,6.88833984,1.1539411,1.179327128,-0.025386028
Èx,5284740,4.136606093,18141669,3.988726793,5.334112914,6.877183611,1.148338741,1.144360312,0.003978429
ínï˚,5190850,4.136136605,16546144,3.987217763,5.332916882,6.866354725,1.140471999,1.110419484,0.030052516
ÊÃ,4753016,4.13379973,17190800,3.987848452,5.326982727,6.870866264,1.101440877,1.124559938,-0.023119061
ê^õâ,4450945,4.132026566,14046758,3.984447202,5.322500897,6.846772111,1.071962232,1.049041965,0.022920267
?,4089411,4.129698037,12738498,3.982739084,5.316642033,6.83488381,1.033426323,1.011780627,0.021645696
êª,3552690,4.125726701,11661552,3.981159932,5.306717637,6.824013308,0.96814992,0.977709364,-0.009559444
