,tot_view_before_x,totdat_YJwordview_before_x,tot_view_after_x,totdat_YJwordview_after_x,YJwordview_before_x,YJwordview_after_x,sta_YJview_before_x,sta_YJview_after_x,diff_sta_YJ_view
?,803794,4.074668305,307774452,4.021749727,5.185517796,7.154747773,0.170973931,2.014325856,-1.843351926
?,401897,4.044012235,307774452,4.021749727,5.117264582,7.154747773,-0.27795259,2.014325856,-2.292278447
?,268698,4.023769434,299453650,4.021528024,5.07364932,7.152515716,-0.564826225,2.00732995,-2.572156175
??,160493,3.994895198,286030576,4.02115368,5.013145317,7.148763213,-0.962783337,1.995568531,-2.958351868
ê_,42335352,4.179600721,282418236,4.021049185,5.450295439,7.147719349,1.912513991,1.992296763,-0.079782773
?,401897,4.044012235,282126581,4.021040676,5.117264582,7.147634413,-0.27795259,1.992030548,-2.269983138
Å[,9431322,4.150757155,278885376,4.020945365,5.370806869,7.146683777,1.389688398,1.989050983,-0.599362586
í¥ãâ,436977,4.047984326,269641246,4.020665765,5.125950968,7.143902484,-0.220819026,1.980333616,-2.201152642
?,30604184,4.174201079,269331265,4.020656183,5.434841713,7.143807363,1.810869147,1.980035479,-0.169166332
ì˙ñ{,46021086,4.1809244,262092632,4.020428434,5.454131182,7.141550303,1.937743084,1.972961206,-0.035218122
ê∂äà,16296795,4.16245961,258048289,4.020297744,5.402203227,7.140258401,1.596193804,1.968912015,-0.372718211
?,401897,4.044012235,256478710,4.020246334,5.117264582,7.139750857,-0.27795259,1.967321226,-2.245273817
òb,19156484,4.165640007,242520798,4.019771189,5.410923025,7.135077139,1.653547126,1.952672456,-0.29912533
??,8945009,4.149542364,241581171,4.019737983,5.367605295,7.134751665,1.368630463,1.951652329,-0.583021865
í¥,13819890,4.159089433,231121068,4.019357097,5.393053847,7.13102896,1.536014963,1.939984305,-0.403969341
??,52766,3.919237012,217248192,4.018817422,4.862369952,7.125787292,-1.954488434,1.923555416,-3.878043851
?,2023604,4.108456723,215465012,4.018744943,5.264480705,7.125086236,0.690342063,1.921358108,-1.231016045
ï,903132,4.07934838,214262945,4.01869566,5.196200856,7.12460994,0.241240354,1.91986526,-1.678624906
òH,2253704,4.111940699,211860979,4.018596143,5.272887668,7.12364911,0.745637755,1.916853744,-1.171215989
ånóÒ,782092,4.07355026,199551420,4.018063092,5.18297671,7.118524154,0.154260272,1.900790665,-1.746530393
??,34767615,4.176372915,196598725,4.017929112,5.441021172,7.117241688,1.851513723,1.896771049,-0.045257326
25,25141827,4.170723045,195551208,4.017880976,5.425042467,7.116781481,1.746415897,1.895328627,-0.14891273
??,1096556,4.086863146,193470936,4.017784423,5.213515917,7.115859248,0.355127884,1.892438084,-1.537310201
à ,1194200,4.090059283,188278824,4.017537682,5.220942928,7.113507776,0.403978073,1.885067899,-1.481089826
?,1205691,4.090414102,179535097,4.017102367,5.221769812,7.109377464,0.409416795,1.87212232,-1.462705525
?,23854764,4.169765836,175452816,4.016889974,5.422365693,7.107370647,1.728809768,1.865832381,-0.137022612
ä˙,8858311,4.149317222,173340801,4.016777657,5.367013056,7.106311608,1.364735091,1.862513049,-0.497777958
ãâ,1791300,4.104403851,173340801,4.016777657,5.254768641,7.106311608,0.626462242,1.862513049,-1.236050808
ëS,22284732,4.168507939,166292850,4.016390133,5.418860872,7.102669203,1.705757266,1.85109671,-0.145339443
??,235717,4.016760607,163091423,4.016207281,5.058787384,7.100956717,-0.662578654,1.845729287,-2.508307941
Åä,600840,4.062403776,162760536,4.016188127,5.157866657,7.100777561,-0.01089779,1.845167762,-1.856065552
u,2583305,4.116231301,156360810,4.015807833,5.283317664,7.097229341,0.814239677,1.834046623,-1.019806946
?,401897,4.044012235,153887226,4.015655609,5.117264582,7.095813754,-0.27795259,1.82960977,-2.10756236
?,401897,4.044012235,153887226,4.015655609,5.117264582,7.095813754,-0.27795259,1.82960977,-2.10756236
OP,6597640,4.14225632,148588045,4.01531898,5.348610979,7.092692746,1.243697854,1.819827638,-0.576129784
ó∑çs,4440960,4.131965433,146557950,4.01518603,5.322346693,7.091463672,1.070947973,1.815975366,-0.745027393
