UID,個案研判日,縣市別,區域,新增確診人數,累計確診人數,七天移動平均新增確診人數
134417,2021/3/28,全國,全區,2,1022,2.29
134420,2021/3/27,全國,全區,7,1020,2.14
134423,2021/3/26,全國,全區,1,1013,1.29
134426,2021/3/25,全國,全區,3,1012,2
134429,2021/3/24,全國,全區,2,1009,2.71
134432,2021/3/23,全國,全區,1,1007,2.43
134435,2021/3/21,全國,全區,1,1006,3
134438,2021/3/20,全國,全區,1,1005,3
134441,2021/3/19,全國,全區,6,1004,2.86
134444,2021/3/18,全國,全區,8,998,2.86
134447,2021/3/15,全國,全區,5,990,2
134450,2021/3/14,全國,全區,1,985,2.29
134453,2021/3/12,全國,全區,6,984,3.43
134456,2021/3/10,全國,全區,1,978,2.86
134459,2021/3/9,全國,全區,1,977,3.14
134462,2021/3/8,全國,全區,7,976,3
134465,2021/3/7,全國,全區,2,969,2
134468,2021/3/6,全國,全區,7,967,1.86
134471,2021/3/4,全國,全區,2,960,1.29
134474,2021/3/3,全國,全區,3,958,1.71
134477,2021/2/28,全國,全區,1,955,1.86
134480,2021/2/27,全國,全區,3,954,1.71
134483,2021/2/25,全國,全區,5,951,1.57
134486,2021/2/24,全國,全區,4,946,1.14
134489,2021/2/20,全國,全區,1,942,0.71
134492,2021/2/19,全國,全區,1,941,0.57
134495,2021/2/18,全國,全區,2,940,0.57
134498,2021/2/17,全國,全區,1,938,0.43
134501,2021/2/12,全國,全區,1,937,2
134504,2021/2/11,全國,全區,1,936,2.43
134507,2021/2/10,全國,全區,2,935,2.57
134510,2021/2/9,全國,全區,5,933,2.57
134515,2021/2/8,全國,全區,1,928,2.29
134518,2021/2/7,全國,全區,3,927,2.29
134521,2021/2/6,全國,全區,1,924,2.14
134524,2021/2/5,全國,全區,4,923,3.43
134529,2021/2/4,全國,全區,2,919,3.43
134532,2021/2/3,全國,全區,2,917,3.43
134535,2021/2/2,全國,全區,3,915,3.57
134538,2021/2/1,全國,全區,1,912,3.29
134541,2021/1/31,全國,全區,2,911,3.43
134544,2021/1/30,全國,全區,10,909,3.57
134550,2021/1/29,全國,全區,4,899,2.57
134553,2021/1/28,全國,全區,2,895,3.14
134556,2021/1/27,全國,全區,3,893,3.29
134559,2021/1/26,全國,全區,1,890,3.14
134562,2021/1/25,全國,全區,2,889,3.86
134565,2021/1/24,全國,全區,3,887,4.57
134570,2021/1/23,全國,全區,3,884,4.71
134575,2021/1/22,全國,全區,8,881,5.43
134580,2021/1/21,全國,全區,3,873,4.43
134583,2021/1/20,全國,全區,2,870,4
134588,2021/1/19,全國,全區,6,868,4.29
134595,2021/1/18,全國,全區,7,862,4
134600,2021/1/17,全國,全區,4,855,3.86
134605,2021/1/16,全國,全區,8,851,3.29
134610,2021/1/15,全國,全區,1,843,2.57
134613,2021/1/13,全國,全區,4,842,3.29
134616,2021/1/12,全國,全區,4,838,3
134622,2021/1/11,全國,全區,6,834,2.71
134625,2021/1/9,全國,全區,3,828,2.86
134628,2021/1/8,全國,全區,3,825,3.29
134631,2021/1/7,全國,全區,3,822,3.29
134634,2021/1/6,全國,全區,2,819,3.14
134637,2021/1/5,全國,全區,2,817,3.14
134640,2021/1/4,全國,全區,3,815,3.14
134643,2021/1/3,全國,全區,4,812,3.86
134646,2021/1/2,全國,全區,6,808,3.57
134649,2021/1/1,全國,全區,3,802,3.14
134652,2020/12/31,全國,全區,2,799,3.29
134655,2020/12/30,全國,全區,2,797,3
134658,2020/12/29,全國,全區,2,795,3.57
134661,2020/12/28,全國,全區,8,793,3.86
134664,2020/12/27,全國,全區,2,785,2.71
134667,2020/12/26,全國,全區,3,783,2.86
134670,2020/12/25,全國,全區,4,780,3
134673,2020/12/23,全國,全區,6,776,3.86
134676,2020/12/22,全國,全區,4,770,4
134681,2020/12/20,全國,全區,3,766,4.29
134684,2020/12/19,全國,全區,4,763,4.29
134687,2020/12/18,全國,全區,2,759,4.86
134690,2020/12/17,全國,全區,8,757,4.71
134693,2020/12/16,全國,全區,7,749,4.14
134696,2020/12/15,全國,全區,2,742,3.43
134699,2020/12/14,全國,全區,4,740,3.43
134702,2020/12/13,全國,全區,3,736,2.86
134705,2020/12/12,全國,全區,8,733,5.57
134708,2020/12/11,全國,全區,1,725,5
134711,2020/12/10,全國,全區,4,724,5.43
134714,2020/12/9,全國,全區,2,720,5
134717,2020/12/8,全國,全區,2,718,5.57
134720,2020/12/6,全國,全區,22,716,9.29
134723,2020/12/5,全國,全區,4,694,6.57
134726,2020/12/4,全國,全區,4,690,7.29
134729,2020/12/3,全國,全區,1,686,8.71
134732,2020/12/2,全國,全區,6,685,8.86
134735,2020/12/1,全國,全區,4,679,8.71
134738,2020/11/30,全國,全區,24,675,8.14
134741,2020/11/29,全國,全區,3,651,4.86
134744,2020/11/28,全國,全區,9,648,5.29
134747,2020/11/27,全國,全區,14,639,4
134750,2020/11/26,全國,全區,2,625,2.29
134753,2020/11/25,全國,全區,5,623,2.29
134756,2020/11/23,全國,全區,1,618,2.14
134759,2020/11/22,全國,全區,6,617,2.14
134762,2020/11/20,全國,全區,2,611,2
134765,2020/11/19,全國,全區,2,609,2.86
134768,2020/11/18,全國,全區,2,607,3.29
134771,2020/11/17,全國,全區,2,605,3.57
134774,2020/11/16,全國,全區,1,603,3.57
134777,2020/11/15,全國,全區,2,602,3.57
134780,2020/11/14,全國,全區,3,600,3.86
134783,2020/11/13,全國,全區,8,597,3.43
134786,2020/11/12,全國,全區,5,589,2.86
134789,2020/11/11,全國,全區,4,584,2.29
134792,2020/11/10,全國,全區,2,580,1.86
134795,2020/11/9,全國,全區,1,578,2.14
134798,2020/11/8,全國,全區,4,577,2.71
134801,2020/11/6,全國,全區,4,573,2.71
134804,2020/11/5,全國,全區,1,569,2.29
134807,2020/11/4,全國,全區,1,568,2.57
134810,2020/11/3,全國,全區,4,567,2.57
134813,2020/11/2,全國,全區,5,563,2
134816,2020/11/1,全國,全區,3,558,1.29
134819,2020/10/31,全國,全區,1,555,0.86
134822,2020/10/30,全國,全區,1,554,1
134825,2020/10/29,全國,全區,3,553,0.86
134828,2020/10/28,全國,全區,1,550,1
134831,2020/10/24,全國,全區,2,549,2.14
134834,2020/10/22,全國,全區,4,547,2.43
134837,2020/10/21,全國,全區,1,543,2
134840,2020/10/20,全國,全區,3,542,1.86
134843,2020/10/19,全國,全區,5,539,1.43
134846,2020/10/16,全國,全區,4,534,1
134849,2020/10/15,全國,全區,1,530,0.86
134852,2020/10/12,全國,全區,2,529,1.57
134855,2020/10/9,全國,全區,3,527,1.43
134858,2020/10/8,全國,全區,1,524,1.29
134861,2020/10/7,全國,全區,2,523,1.29
134864,2020/10/6,全國,全區,3,521,1.14
134867,2020/10/5,全國,全區,1,518,0.71
134870,2020/10/2,全國,全區,2,517,1
134873,2020/10/1,全國,全區,1,515,0.86
134876,2020/9/30,全國,全區,1,514,0.71
134879,2020/9/28,全國,全區,3,513,0.57
134882,2020/9/25,全國,全區,1,510,1
134885,2020/9/21,全國,全區,2,509,1.43
134888,2020/9/20,全國,全區,1,507,1.29
134891,2020/9/19,全國,全區,3,506,1.14
134894,2020/9/17,全國,全區,3,503,1
134897,2020/9/16,全國,全區,1,500,0.71
134900,2020/9/14,全國,全區,1,499,0.71
134903,2020/9/11,全國,全區,2,498,1.14
134906,2020/9/10,全國,全區,1,496,1
134909,2020/9/8,全國,全區,1,495,1
134912,2020/9/7,全國,全區,1,494,0.86
134915,2020/9/6,全國,全區,1,493,0.71
134918,2020/9/5,全國,全區,2,492,0.57
134921,2020/9/4,全國,全區,1,490,0.43
134924,2020/9/2,全國,全區,1,489,0.29
134927,2020/8/29,全國,全區,1,488,0.14
134930,2020/8/21,全國,全區,1,487,0.86
134933,2020/8/18,全國,全區,1,486,0.86
134936,2020/8/17,全國,全區,2,485,0.71
134939,2020/8/16,全國,全區,1,483,0.43
134942,2020/8/15,全國,全區,1,482,0.43
134945,2020/8/12,全國,全區,1,481,0.71
134948,2020/8/9,全國,全區,1,480,0.71
134951,2020/8/8,全國,全區,2,479,0.71
134954,2020/8/6,全國,全區,1,477,1.43
134957,2020/8/4,全國,全區,1,476,1.29
134960,2020/8/2,全國,全區,1,475,2.43
134963,2020/8/1,全國,全區,7,474,2.29
134966,2020/7/28,全國,全區,5,467,1.71
134969,2020/7/27,全國,全區,4,462,1
134972,2020/7/24,全國,全區,3,458,0.57
134975,2020/7/19,全國,全區,1,455,0.57
134978,2020/7/17,全國,全區,2,454,0.43
134981,2020/7/16,全國,全區,1,452,0.43
134984,2020/7/10,全國,全區,2,451,0.29
134987,2020/7/3,全國,全區,1,449,0.29
134990,2020/7/2,全國,全區,1,448,0.14
134993,2020/6/25,全國,全區,1,447,0.14
134996,2020/6/18,全國,全區,1,446,0.43
134999,2020/6/15,全國,全區,2,445,0.29
135002,2020/6/1,全國,全區,1,443,0.29
135005,2020/5/29,全國,全區,1,442,0.14
135008,2020/5/21,全國,全區,1,441,0.14
135011,2020/5/7,全國,全區,1,440,1.57
135014,2020/5/6,全國,全區,1,439,1.43
135017,2020/5/4,全國,全區,3,438,1.29
135020,2020/5/3,全國,全區,3,435,0.86
135023,2020/5/2,全國,全區,3,432,0.43
135026,2020/4/25,全國,全區,1,429,4.43
135029,2020/4/24,全國,全區,1,428,4.71
135032,2020/4/23,全國,全區,1,427,4.57
135035,2020/4/22,全國,全區,1,426,4.43
135038,2020/4/21,全國,全區,3,425,4.57
135041,2020/4/20,全國,全區,2,422,4.14
135044,2020/4/19,全國,全區,22,420,4.57
135047,2020/4/18,全國,全區,3,398,1.86
135050,2020/4/15,全國,全區,2,395,2.29
135053,2020/4/13,全國,全區,5,393,2.86
135056,2020/4/12,全國,全區,3,388,3.57
135061,2020/4/11,全國,全區,3,385,4.29
135064,2020/4/10,全國,全區,2,382,4.86
135067,2020/4/9,全國,全區,1,380,5.86
135070,2020/4/8,全國,全區,3,379,7.14
135075,2020/4/7,全國,全區,3,376,7.71
135078,2020/4/6,全國,全區,10,373,9.57
135083,2020/4/5,全國,全區,8,363,9.29
135086,2020/4/4,全國,全區,7,355,10.29
135091,2020/4/3,全國,全區,9,348,11.57
135098,2020/4/2,全國,全區,10,339,12.43
135105,2020/4/1,全國,全區,7,329,13.43
135108,2020/3/31,全國,全區,16,322,15.14
135115,2020/3/30,全國,全區,8,306,15.86
135120,2020/3/29,全國,全區,15,298,18.43
135125,2020/3/28,全國,全區,16,283,18.57
135132,2020/3/27,全國,全區,15,267,19
135135,2020/3/26,全國,全區,17,252,20.57
135142,2020/3/25,全國,全區,19,235,19.29
135145,2020/3/24,全國,全區,21,216,19.86
135150,2020/3/23,全國,全區,26,195,18.43
135155,2020/3/22,全國,全區,16,169,15.86
135164,2020/3/21,全國,全區,19,153,14.29
135167,2020/3/20,全國,全區,26,134,12
135175,2020/3/19,全國,全區,8,108,8.43
135180,2020/3/18,全國,全區,23,100,7.43
135187,2020/3/17,全國,全區,11,77,4.29
135190,2020/3/16,全國,全區,8,66,3
135193,2020/3/15,全國,全區,5,58,1.86
135196,2020/3/14,全國,全區,3,53,1.14
135199,2020/3/13,全國,全區,1,50,0.71
135202,2020/3/12,全國,全區,1,49,0.71
135205,2020/3/11,全國,全區,1,48,0.86
135208,2020/3/10,全國,全區,2,47,0.71
135213,2020/3/6,全國,全區,1,45,1.57
135216,2020/3/5,全國,全區,2,44,1.71
135221,2020/3/3,全國,全區,1,42,1.57
135224,2020/3/2,全國,全區,1,41,1.57
135227,2020/3/1,全國,全區,1,40,1.71
135230,2020/2/29,全國,全區,5,39,1.86
135236,2020/2/28,全國,全區,2,34,1.14
135241,2020/2/26,全國,全區,1,32,1.29
135244,2020/2/25,全國,全區,1,31,1.29
135247,2020/2/24,全國,全區,2,30,1.43
135250,2020/2/23,全國,全區,2,28,1.14
135253,2020/2/21,全國,全區,2,26,1.14
135257,2020/2/20,全國,全區,1,24,0.86
135260,2020/2/19,全國,全區,1,23,0.71
135263,2020/2/18,全國,全區,2,22,0.57
135268,2020/2/16,全國,全區,2,20,0.29
135271,2020/2/9,全國,全區,1,18,1.14
135274,2020/2/8,全國,全區,1,17,1
135277,2020/2/7,全國,全區,2,16,0.86
135280,2020/2/6,全國,全區,3,14,0.71
135283,2020/2/4,全國,全區,1,11,0.43
135286,2020/1/31,全國,全區,1,10,1
135289,2020/1/30,全國,全區,1,9,1.14
135292,2020/1/28,全國,全區,3,8,1.14
135297,2020/1/27,全國,全區,1,5,0.71
135300,2020/1/26,全國,全區,1,4,0.57
135303,2020/1/24,全國,全區,2,3,0.43
135306,2020/1/22,全國,全區,1,1,0.14
